Site Name,OutageUID,Project ID,Date,Emp ID,Firm,Role,ST Hours,OT Hours,Total Cost
North Substation,NS_MO_2025,PRJ-NS-1394,01-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,1029.68
North Substation,NS_MO_2025,PRJ-NS-1291,01-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,580.77
North Substation,NS_MO_2025,PRJ-NS-1265,01-12-2025,C-1079,Precision Welding,Crane Operator,8,0,724.07
North Substation,NS_MO_2025,PRJ-NS-1191,01-12-2025,C-1047,Atlas Heavy Eng,Millwright,8,0,617.54
North Substation,NS_MO_2025,PRJ-NS-1226,01-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1660.77
North Substation,NS_MO_2025,PRJ-NS-1374,01-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1031.55
North Substation,NS_MO_2025,PRJ-NS-1361,01-12-2025,C-1073,Precision Welding,General Labor,8,0,361.9
North Substation,NS_MO_2025,PRJ-NS-1236,01-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,613.47
North Substation,NS_MO_2025,PRJ-NS-1307,01-12-2025,C-1066,Apex Industrial,General Labor,8,0,399.27
North Substation,NS_MO_2025,PRJ-NS-1302,01-12-2025,C-1035,Summit Field Techs,General Labor,8,0,354.23
North Substation,NS_MO_2025,PRJ-NS-1205,01-12-2025,C-1012,Midwest Mech Pros,Controls Tech,8,0,1068.46
North Substation,NS_MO_2025,PRJ-NS-1380,01-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1399.16
North Substation,NS_MO_2025,PRJ-NS-1257,01-12-2025,C-1077,Precision Welding,Safety Officer,8,0,562.11
North Substation,NS_MO_2025,PRJ-NS-1324,01-12-2025,C-1078,Atlas Heavy Eng,Millwright,8,0,684.25
North Substation,NS_MO_2025,PRJ-NS-1226,01-12-2025,C-1001,Apex Industrial,General Labor,8,0,407.84
North Substation,NS_MO_2025,PRJ-NS-1198,01-12-2025,C-1043,Apex Industrial,Crane Operator,8,0,856.25
North Substation,NS_MO_2025,PRJ-NS-1322,01-12-2025,C-1031,Summit Field Techs,Crane Operator,8,0,775.72
North Substation,NS_MO_2025,PRJ-NS-1378,01-12-2025,C-1020,Midwest Mech Pros,Field Engineer,8,0,1161.07
North Substation,NS_MO_2025,PRJ-NS-1160,01-12-2025,C-1021,Summit Field Techs,Millwright,8,0,656.44
North Substation,NS_MO_2025,PRJ-NS-1153,01-12-2025,C-1035,Summit Field Techs,General Labor,8,0,370.46
North Substation,NS_MO_2025,PRJ-NS-1189,01-12-2025,C-1024,Apex Industrial,Millwright,8,0,774.46
North Substation,NS_MO_2025,PRJ-NS-1349,01-12-2025,C-1011,Midwest Mech Pros,General Labor,8,0,421.58
North Substation,NS_MO_2025,PRJ-NS-1270,01-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1409.79
North Substation,NS_MO_2025,PRJ-NS-1373,01-12-2025,C-1037,PrimeFix Solutions,Controls Tech,8,0,1125.82
North Substation,NS_MO_2025,PRJ-NS-1185,01-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1600.12
North Substation,NS_MO_2025,PRJ-NS-1207,01-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1344.05
North Substation,NS_MO_2025,PRJ-NS-1323,01-12-2025,C-1079,Precision Welding,Crane Operator,8,0,795.16
North Substation,NS_MO_2025,PRJ-NS-1196,01-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1571.19
North Substation,NS_MO_2025,PRJ-NS-1304,01-12-2025,C-1059,PrimeFix Solutions,Field Engineer,8,0,1186.1
North Substation,NS_MO_2025,PRJ-NS-1311,01-12-2025,C-1039,PrimeFix Solutions,Field Engineer,8,0,1504.99
North Substation,NS_MO_2025,PRJ-NS-1326,01-12-2025,C-1076,Apex Industrial,Safety Officer,8,0,640.05
North Substation,NS_MO_2025,PRJ-NS-1379,01-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1015.04
North Substation,NS_MO_2025,PRJ-NS-1300,01-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1654.73
North Substation,NS_MO_2025,PRJ-NS-1187,01-12-2025,C-1028,Midwest Mech Pros,Field Engineer,8,0,1501.64
North Substation,NS_MO_2025,PRJ-NS-1190,01-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1411.75
North Substation,NS_MO_2025,PRJ-NS-1222,01-12-2025,C-1041,Precision Welding,Millwright,8,0,692.4
North Substation,NS_MO_2025,PRJ-NS-1380,01-12-2025,C-1039,PrimeFix Solutions,Field Engineer,8,0,1458.34
North Substation,NS_MO_2025,PRJ-NS-1271,01-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,570.62
North Substation,NS_MO_2025,PRJ-NS-1183,01-12-2025,C-1078,Atlas Heavy Eng,Millwright,8,0,722.99
North Substation,NS_MO_2025,PRJ-NS-1211,01-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,749.56
North Substation,NS_MO_2025,PRJ-NS-1288,01-12-2025,C-1077,Precision Welding,Safety Officer,8,0,572.97
North Substation,NS_MO_2025,PRJ-NS-1263,01-12-2025,C-1054,Midwest Mech Pros,General Labor,8,0,414.21
North Substation,NS_MO_2025,PRJ-NS-1347,01-12-2025,C-1027,Precision Welding,Crane Operator,8,0,848.0
North Substation,NS_MO_2025,PRJ-NS-1228,01-12-2025,C-1020,Midwest Mech Pros,Field Engineer,8,0,1226.48
North Substation,NS_MO_2025,PRJ-NS-1313,01-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,600.47
North Substation,NS_MO_2025,PRJ-NS-1234,01-12-2025,C-1043,Apex Industrial,Crane Operator,8,0,812.05
North Substation,NS_MO_2025,PRJ-NS-1250,01-12-2025,C-1072,Apex Industrial,Crane Operator,8,0,725.03
North Substation,NS_MO_2025,PRJ-NS-1302,01-12-2025,C-1011,Midwest Mech Pros,General Labor,8,0,439.51
North Substation,NS_MO_2025,PRJ-NS-1356,01-12-2025,C-1039,PrimeFix Solutions,Field Engineer,8,0,1497.46
North Substation,NS_MO_2025,PRJ-NS-1334,01-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,618.68
North Substation,NS_MO_2025,PRJ-NS-1375,01-12-2025,C-1012,Midwest Mech Pros,Controls Tech,8,0,1001.65
North Substation,NS_MO_2025,PRJ-NS-1162,01-12-2025,C-1069,Precision Welding,Safety Officer,8,0,535.9
North Substation,NS_MO_2025,PRJ-NS-1197,01-12-2025,C-1051,Apex Industrial,Crane Operator,8,0,894.88
North Substation,NS_MO_2025,PRJ-NS-1325,01-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1040.14
North Substation,NS_MO_2025,PRJ-NS-1258,01-12-2025,C-1015,Atlas Heavy Eng,Controls Tech,8,0,1287.72
North Substation,NS_MO_2025,PRJ-NS-1181,01-12-2025,C-1039,PrimeFix Solutions,Field Engineer,8,0,1515.92
North Substation,NS_MO_2025,PRJ-NS-1354,01-12-2025,C-1066,Apex Industrial,General Labor,8,0,374.61
North Substation,NS_MO_2025,PRJ-NS-1312,01-12-2025,C-1010,PrimeFix Solutions,Field Engineer,8,0,1550.07
North Substation,NS_MO_2025,PRJ-NS-1335,01-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1086.06
North Substation,NS_MO_2025,PRJ-NS-1329,01-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,711.1
North Substation,NS_MO_2025,PRJ-NS-1188,01-12-2025,C-1024,Apex Industrial,Millwright,8,0,711.47
North Substation,NS_MO_2025,PRJ-NS-1189,01-12-2025,C-1074,Apex Industrial,Controls Tech,8,0,1115.9
North Substation,NS_MO_2025,PRJ-NS-1192,01-12-2025,C-1040,Atlas Heavy Eng,Crane Operator,8,0,860.2
North Substation,NS_MO_2025,PRJ-NS-1194,01-12-2025,C-1030,Summit Field Techs,Millwright,8,0,602.43
North Substation,NS_MO_2025,PRJ-NS-1393,01-12-2025,C-1037,PrimeFix Solutions,Controls Tech,8,0,1087.21
North Substation,NS_MO_2025,PRJ-NS-1326,01-12-2025,C-1053,Precision Welding,Millwright,8,0,639.41
North Substation,NS_MO_2025,PRJ-NS-1186,01-12-2025,C-1058,Midwest Mech Pros,Controls Tech,8,0,1272.61
North Substation,NS_MO_2025,PRJ-NS-1312,01-12-2025,C-1042,PrimeFix Solutions,General Labor,8,0,406.84
North Substation,NS_MO_2025,PRJ-NS-1232,01-12-2025,C-1073,Precision Welding,General Labor,8,0,393.02
North Substation,NS_MO_2025,PRJ-NS-1186,02-12-2025,C-1058,Midwest Mech Pros,Controls Tech,8,0,1322.18
North Substation,NS_MO_2025,PRJ-NS-1263,02-12-2025,C-1054,Midwest Mech Pros,General Labor,8,0,389.03
North Substation,NS_MO_2025,PRJ-NS-1198,02-12-2025,C-1043,Apex Industrial,Crane Operator,8,0,783.38
North Substation,NS_MO_2025,PRJ-NS-1236,02-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,631.1
North Substation,NS_MO_2025,PRJ-NS-1323,02-12-2025,C-1079,Precision Welding,Crane Operator,8,0,761.52
North Substation,NS_MO_2025,PRJ-NS-1356,02-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,730.06
North Substation,NS_MO_2025,PRJ-NS-1307,02-12-2025,C-1066,Apex Industrial,General Labor,8,0,402.66
North Substation,NS_MO_2025,PRJ-NS-1356,02-12-2025,C-1054,Midwest Mech Pros,General Labor,8,0,403.18
North Substation,NS_MO_2025,PRJ-NS-1228,02-12-2025,C-1027,Precision Welding,Crane Operator,8,0,914.3
North Substation,NS_MO_2025,PRJ-NS-1166,02-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1668.07
North Substation,NS_MO_2025,PRJ-NS-1172,02-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,613.13
North Substation,NS_MO_2025,PRJ-NS-1226,02-12-2025,C-1018,Atlas Heavy Eng,Controls Tech,8,0,1184.6
North Substation,NS_MO_2025,PRJ-NS-1234,02-12-2025,C-1043,Apex Industrial,Crane Operator,8,0,838.43
North Substation,NS_MO_2025,PRJ-NS-1261,02-12-2025,C-1018,Atlas Heavy Eng,Controls Tech,8,0,1082.44
North Substation,NS_MO_2025,PRJ-NS-1222,02-12-2025,C-1041,Precision Welding,Millwright,8,0,733.6
North Substation,NS_MO_2025,PRJ-NS-1206,02-12-2025,C-1026,Precision Welding,Controls Tech,8,0,1038.72
North Substation,NS_MO_2025,PRJ-NS-1194,02-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1388.73
North Substation,NS_MO_2025,PRJ-NS-1269,02-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,978.54
North Substation,NS_MO_2025,PRJ-NS-1334,02-12-2025,C-1010,PrimeFix Solutions,Field Engineer,8,0,1531.07
North Substation,NS_MO_2025,PRJ-NS-1311,02-12-2025,C-1039,PrimeFix Solutions,Field Engineer,8,0,1493.52
North Substation,NS_MO_2025,PRJ-NS-1258,02-12-2025,C-1060,Summit Field Techs,General Labor,8,0,447.44
North Substation,NS_MO_2025,PRJ-NS-1196,02-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1532.3
North Substation,NS_MO_2025,PRJ-NS-1194,02-12-2025,C-1046,Precision Welding,General Labor,8,0,430.67
North Substation,NS_MO_2025,PRJ-NS-1390,02-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,609.07
North Substation,NS_MO_2025,PRJ-NS-1326,02-12-2025,C-1053,Precision Welding,Millwright,8,0,631.22
North Substation,NS_MO_2025,PRJ-NS-1372,02-12-2025,C-1066,Apex Industrial,General Labor,8,0,369.65
North Substation,NS_MO_2025,PRJ-NS-1162,02-12-2025,C-1069,Precision Welding,Safety Officer,8,0,535.99
North Substation,NS_MO_2025,PRJ-NS-1370,02-12-2025,C-1028,Midwest Mech Pros,Field Engineer,8,0,1449.14
North Substation,NS_MO_2025,PRJ-NS-1176,02-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,994.01
North Substation,NS_MO_2025,PRJ-NS-1185,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1627.11
North Substation,NS_MO_2025,PRJ-NS-1188,03-12-2025,C-1003,Summit Field Techs,Millwright,8,0,683.04
North Substation,NS_MO_2025,PRJ-NS-1190,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1321.31
North Substation,NS_MO_2025,PRJ-NS-1352,03-12-2025,C-1060,Summit Field Techs,General Labor,8,0,460.76
North Substation,NS_MO_2025,PRJ-NS-1185,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1517.68
North Substation,NS_MO_2025,PRJ-NS-1350,03-12-2025,C-1079,Precision Welding,Crane Operator,8,0,789.48
North Substation,NS_MO_2025,PRJ-NS-1379,03-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1023.32
North Substation,NS_MO_2025,PRJ-NS-1304,03-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,583.33
North Substation,NS_MO_2025,PRJ-NS-1379,03-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1119.6
North Substation,NS_MO_2025,PRJ-NS-1192,03-12-2025,C-1040,Atlas Heavy Eng,Crane Operator,8,0,886.96
North Substation,NS_MO_2025,PRJ-NS-1302,03-12-2025,C-1035,Summit Field Techs,General Labor,8,0,359.61
North Substation,NS_MO_2025,PRJ-NS-1390,03-12-2025,C-1062,PrimeFix Solutions,General Labor,8,0,387.99
North Substation,NS_MO_2025,PRJ-NS-1270,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1365.66
North Substation,NS_MO_2025,PRJ-NS-1302,03-12-2025,C-1011,Midwest Mech Pros,General Labor,8,0,421.39
North Substation,NS_MO_2025,PRJ-NS-1315,03-12-2025,C-1020,Midwest Mech Pros,Field Engineer,8,0,1237.01
North Substation,NS_MO_2025,PRJ-NS-1393,03-12-2025,C-1003,Summit Field Techs,Millwright,8,0,652.38
North Substation,NS_MO_2025,PRJ-NS-1206,03-12-2025,C-1026,Precision Welding,Controls Tech,8,0,1052.54
North Substation,NS_MO_2025,PRJ-NS-1182,03-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,971.81
North Substation,NS_MO_2025,PRJ-NS-1390,03-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,583.2
North Substation,NS_MO_2025,PRJ-NS-1276,03-12-2025,C-1003,Summit Field Techs,Millwright,8,0,670.65
North Substation,NS_MO_2025,PRJ-NS-1150,03-12-2025,C-1071,PrimeFix Solutions,Crane Operator,8,0,763.02
North Substation,NS_MO_2025,PRJ-NS-1388,03-12-2025,C-1045,Midwest Mech Pros,Crane Operator,8,0,814.29
North Substation,NS_MO_2025,PRJ-NS-1236,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,616.77
North Substation,NS_MO_2025,PRJ-NS-1324,03-12-2025,C-1078,Atlas Heavy Eng,Millwright,8,0,689.3
North Substation,NS_MO_2025,PRJ-NS-1203,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1419.46
North Substation,NS_MO_2025,PRJ-NS-1206,03-12-2025,C-1026,Precision Welding,Controls Tech,8,0,1043.99
North Substation,NS_MO_2025,PRJ-NS-1246,03-12-2025,C-1079,Precision Welding,Crane Operator,8,0,797.46
North Substation,NS_MO_2025,PRJ-NS-1258,03-12-2025,C-1015,Atlas Heavy Eng,Controls Tech,8,0,1240.6
North Substation,NS_MO_2025,PRJ-NS-1384,03-12-2025,C-1035,Summit Field Techs,General Labor,8,0,359.16
North Substation,NS_MO_2025,PRJ-NS-1369,03-12-2025,C-1008,Apex Industrial,Safety Officer,8,0,699.32
North Substation,NS_MO_2025,PRJ-NS-1372,03-12-2025,C-1066,Apex Industrial,General Labor,8,0,382.38
North Substation,NS_MO_2025,PRJ-NS-1347,03-12-2025,C-1027,Precision Welding,Crane Operator,8,0,862.1
North Substation,NS_MO_2025,PRJ-NS-1373,03-12-2025,C-1037,PrimeFix Solutions,Controls Tech,8,0,1059.1
North Substation,NS_MO_2025,PRJ-NS-1259,03-12-2025,C-1035,Summit Field Techs,General Labor,8,0,371.16
North Substation,NS_MO_2025,PRJ-NS-1324,03-12-2025,C-1072,Apex Industrial,Crane Operator,8,0,742.83
North Substation,NS_MO_2025,PRJ-NS-1324,03-12-2025,C-1078,Atlas Heavy Eng,Millwright,8,0,722.86
North Substation,NS_MO_2025,PRJ-NS-1370,03-12-2025,C-1028,Midwest Mech Pros,Field Engineer,8,0,1417.12
North Substation,NS_MO_2025,PRJ-NS-1162,03-12-2025,C-1069,Precision Welding,Safety Officer,8,0,512.92
North Substation,NS_MO_2025,PRJ-NS-1205,03-12-2025,C-1012,Midwest Mech Pros,Controls Tech,8,0,990.9
North Substation,NS_MO_2025,PRJ-NS-1213,03-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,752.71
North Substation,NS_MO_2025,PRJ-NS-1186,03-12-2025,C-1058,Midwest Mech Pros,Controls Tech,8,0,1316.81
North Substation,NS_MO_2025,PRJ-NS-1236,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,597.55
North Substation,NS_MO_2025,PRJ-NS-1300,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1571.16
North Substation,NS_MO_2025,PRJ-NS-1250,03-12-2025,C-1072,Apex Industrial,Crane Operator,8,0,783.8
North Substation,NS_MO_2025,PRJ-NS-1257,03-12-2025,C-1077,Precision Welding,Safety Officer,8,0,576.86
North Substation,NS_MO_2025,PRJ-NS-1200,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1556.29
North Substation,NS_MO_2025,PRJ-NS-1159,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1368.0
North Substation,NS_MO_2025,PRJ-NS-1384,03-12-2025,C-1035,Summit Field Techs,General Labor,8,0,363.09
North Substation,NS_MO_2025,PRJ-NS-1150,03-12-2025,C-1071,PrimeFix Solutions,Crane Operator,8,0,825.18
North Substation,NS_MO_2025,PRJ-NS-1352,03-12-2025,C-1060,Summit Field Techs,General Labor,8,0,443.51
North Substation,NS_MO_2025,PRJ-NS-1373,03-12-2025,C-1037,PrimeFix Solutions,Controls Tech,8,0,1080.6
North Substation,NS_MO_2025,PRJ-NS-1154,03-12-2025,C-1020,Midwest Mech Pros,Field Engineer,8,0,1194.02
North Substation,NS_MO_2025,PRJ-NS-1275,03-12-2025,C-1024,Apex Industrial,Millwright,8,0,743.97
North Substation,NS_MO_2025,PRJ-NS-1334,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,616.84
North Substation,NS_MO_2025,PRJ-NS-1162,03-12-2025,C-1040,Atlas Heavy Eng,Crane Operator,8,0,815.81
North Substation,NS_MO_2025,PRJ-NS-1265,03-12-2025,C-1079,Precision Welding,Crane Operator,8,0,784.73
North Substation,NS_MO_2025,PRJ-NS-1324,03-12-2025,C-1078,Atlas Heavy Eng,Millwright,8,0,664.54
North Substation,NS_MO_2025,PRJ-NS-1206,03-12-2025,C-1026,Precision Welding,Controls Tech,8,0,1078.08
North Substation,NS_MO_2025,PRJ-NS-1349,03-12-2025,C-1011,Midwest Mech Pros,General Labor,8,0,422.79
North Substation,NS_MO_2025,PRJ-NS-1374,03-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1076.92
North Substation,NS_MO_2025,PRJ-NS-1393,03-12-2025,C-1000,PrimeFix Solutions,Millwright,8,0,715.79
North Substation,NS_MO_2025,PRJ-NS-1334,03-12-2025,C-1010,PrimeFix Solutions,Field Engineer,8,0,1629.21
North Substation,NS_MO_2025,PRJ-NS-1200,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1636.99
North Substation,NS_MO_2025,PRJ-NS-1342,03-12-2025,C-1030,Summit Field Techs,Millwright,8,0,602.02
North Substation,NS_MO_2025,PRJ-NS-1304,03-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,602.54
North Substation,NS_MO_2025,PRJ-NS-1261,03-12-2025,C-1052,PrimeFix Solutions,General Labor,8,0,356.01
North Substation,NS_MO_2025,PRJ-NS-1302,03-12-2025,C-1035,Summit Field Techs,General Labor,8,0,365.56
North Substation,NS_MO_2025,PRJ-NS-1181,03-12-2025,C-1069,Precision Welding,Safety Officer,8,0,534.64
North Substation,NS_MO_2025,PRJ-NS-1335,03-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1033.76
North Substation,NS_MO_2025,PRJ-NS-1334,03-12-2025,C-1010,PrimeFix Solutions,Field Engineer,8,0,1601.7
North Substation,NS_MO_2025,PRJ-NS-1196,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1627.01
North Substation,NS_MO_2025,PRJ-NS-1268,03-12-2025,C-1028,Midwest Mech Pros,Field Engineer,8,0,1521.9
North Substation,NS_MO_2025,PRJ-NS-1226,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1602.76
North Substation,NS_MO_2025,PRJ-NS-1321,03-12-2025,C-1062,PrimeFix Solutions,General Labor,8,0,368.07
North Substation,NS_MO_2025,PRJ-NS-1172,03-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,572.07
North Substation,NS_MO_2025,PRJ-NS-1159,03-12-2025,C-1041,Precision Welding,Millwright,8,0,709.91
North Substation,NS_MO_2025,PRJ-NS-1380,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1348.41
North Substation,NS_MO_2025,PRJ-NS-1315,03-12-2025,C-1020,Midwest Mech Pros,Field Engineer,8,0,1228.33
North Substation,NS_MO_2025,PRJ-NS-1200,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1593.86
North Substation,NS_MO_2025,PRJ-NS-1394,03-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,1021.65
North Substation,NS_MO_2025,PRJ-NS-1313,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,580.03
North Substation,NS_MO_2025,PRJ-NS-1226,03-12-2025,C-1023,Summit Field Techs,Field Engineer,8,0,1581.2
North Substation,NS_MO_2025,PRJ-NS-1211,03-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,761.23
North Substation,NS_MO_2025,PRJ-NS-1271,03-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,578.88
North Substation,NS_MO_2025,PRJ-NS-1248,03-12-2025,C-1026,Precision Welding,Controls Tech,8,0,991.71
North Substation,NS_MO_2025,PRJ-NS-1194,03-12-2025,C-1030,Summit Field Techs,Millwright,8,0,603.36
North Substation,NS_MO_2025,PRJ-NS-1288,03-12-2025,C-1077,Precision Welding,Safety Officer,8,0,581.66
North Substation,NS_MO_2025,PRJ-NS-1302,03-12-2025,C-1011,Midwest Mech Pros,General Labor,8,0,421.52
North Substation,NS_MO_2025,PRJ-NS-1325,03-12-2025,C-1019,Midwest Mech Pros,Controls Tech,8,0,1094.36
North Substation,NS_MO_2025,PRJ-NS-1304,03-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,605.21
North Substation,NS_MO_2025,PRJ-NS-1356,03-12-2025,C-1054,Midwest Mech Pros,General Labor,8,0,401.95
North Substation,NS_MO_2025,PRJ-NS-1342,03-12-2025,C-1031,Summit Field Techs,Crane Operator,8,0,762.95
North Substation,NS_MO_2025,PRJ-NS-1304,03-12-2025,C-1059,PrimeFix Solutions,Field Engineer,8,0,1251.36
North Substation,NS_MO_2025,PRJ-NS-1208,03-12-2025,C-1045,Midwest Mech Pros,Crane Operator,8,0,830.92
North Substation,NS_MO_2025,PRJ-NS-1172,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,589.22
North Substation,NS_MO_2025,PRJ-NS-1213,03-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,705.75
North Substation,NS_MO_2025,PRJ-NS-1257,03-12-2025,C-1077,Precision Welding,Safety Officer,8,0,556.53
North Substation,NS_MO_2025,PRJ-NS-1207,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1337.42
North Substation,NS_MO_2025,PRJ-NS-1182,03-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,983.46
North Substation,NS_MO_2025,PRJ-NS-1291,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,627.76
North Substation,NS_MO_2025,PRJ-NS-1257,03-12-2025,C-1077,Precision Welding,Safety Officer,8,0,585.39
North Substation,NS_MO_2025,PRJ-NS-1295,03-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,582.73
North Substation,NS_MO_2025,PRJ-NS-1228,03-12-2025,C-1027,Precision Welding,Crane Operator,8,0,835.77
North Substation,NS_MO_2025,PRJ-NS-1159,03-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1304.87
