OutageUID,Site Name,Project ID,Description,Asset,Sub-System,Status,Tollgate,Start Date,End Date,Budget,Actual Cost,Contractor,Project Manager,TollgateLateFlag
NS_MO_2025,North Substation,PRJ-NS-1012,T-24: Budget Approval,Project Management,Financial & Controls,Completed,T-24,02-12-2023,27-12-2023,49456.1,49208.44,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1013,T-24: Submit CapEx Request,Project Management,Financial & Controls,Completed,T-24,02-12-2023,27-12-2023,48621.67,51371.64,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1014,T-24: Verify Zero Energy,Safety & Compliance,LOTO,Completed,T-24,02-12-2023,27-12-2023,54684.66,53390.2,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1015,T-24: Daily Safety Audit,Safety & Compliance,EHS,Completed,T-24,02-12-2023,27-12-2023,58544.16,55792.86,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1016,T-24: Verify Zero Energy,Safety & Compliance,LOTO,Completed,T-24,02-12-2023,27-12-2023,50125.65,54298.96,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1017,T-24: Invoice Reconciliation,Project Management,Financial & Controls,Completed,T-24,02-12-2023,27-12-2023,47072.61,44395.89,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1018,T-24: Contractor Orientation,Project Management,Supply Chain,Completed,T-24,02-12-2023,27-12-2023,66850.24,72513.66,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1019,T-24: Budget Approval,Project Management,Financial & Controls,Completed,T-24,02-12-2023,27-12-2023,51124.74,47684.29,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1020,T-24: Verify Zero Energy,Safety & Compliance,LOTO,Completed,T-24,02-12-2023,27-12-2023,55398.55,56108.95,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1021,Manage PO: HGP Hardware,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,15000,14199.9,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1022,Manage PO: Combustion Parts,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,15000,15532.7,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1023,Manage PO: ST Valve Parts,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,15000,15599.68,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1024,Manage PO: LSB Consumables,Project Management,Supply Chain,In Progress,T-18,09-06-2024,24-02-2026,15000,14131.99,OEM / Supply Chain,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1025,Manage PO: Catalyst Replacement,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,15000,15625.75,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1026,Material: Tube Panel Sections,HRSG,Pressure Parts,Completed,T-18,09-06-2024,04-07-2024,1785000,1723318.05,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1027,Manage PO: Generator Kits,Project Management,Supply Chain,In Progress,T-18,09-06-2024,06-03-2026,15000,14839.25,OEM / Supply Chain,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1028,T-18: Invoice Reconciliation,Project Management,Financial & Controls,Completed,T-18,09-06-2024,04-07-2024,74237.1,68495.58,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1029,T-18: Chemical Safety Review,Safety & Compliance,EHS,Completed,T-18,09-06-2024,04-07-2024,82063.2,87002.35,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1030,T-18: Mobilization,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,65386.06,61434.41,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1031,T-18: Daily Safety Audit,Safety & Compliance,EHS,Completed,T-18,09-06-2024,04-07-2024,64468.16,71277.84,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1032,T-18: Contractor Orientation,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,66019.43,64540.42,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1033,T-18: Develop Cost Estimate,Project Management,Financial & Controls,Completed,T-18,09-06-2024,04-07-2024,92432.92,91021.24,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1034,T-18: RFP General Contractor,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,72257.29,66245.69,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1035,T-18: Verify Zero Energy,Safety & Compliance,LOTO,Completed,T-18,09-06-2024,04-07-2024,90380.6,84334.14,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1036,T-18: Grid Outage Bid,Project Management,Regulatory,In Progress,T-18,09-06-2024,14-02-2026,76763.47,79645.5,Siemens Energy,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1037,T-18: Mobilization,Project Management,Supply Chain,Completed,T-18,09-06-2024,04-07-2024,87329.49,93612.26,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1038,T-18: Walkdown Isolations,Safety & Compliance,LOTO,In Progress,T-18,09-06-2024,09-03-2026,81291.61,85354.12,EthosEnergy,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1039,T-18: Walkdown Isolations,Safety & Compliance,LOTO,Completed,T-18,09-06-2024,04-07-2024,65710.96,68050.4,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1040,T-18: Master LOTO List,Safety & Compliance,LOTO,Completed,T-18,09-06-2024,04-07-2024,67643.97,68575.24,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1041,T-18: Submit CapEx Request,Project Management,Financial & Controls,Completed,T-18,09-06-2024,04-07-2024,89915.85,95609.73,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1042,Material: Stage 1 Buckets & Nozzles,Gas Turbine,Hot Gas Path,Completed,T-12,01-12-2024,26-12-2024,4760000,4306692.18,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1043,Material: Main Steam Valve Kit,Steam Turbine,HP/IP Section,In Progress,T-12,01-12-2024,17-02-2026,1785000,1855077.52,OEM / Supply Chain,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1044,Material: CO/SCR Catalyst Blocks,HRSG,Gas Path,Completed,T-12,01-12-2024,26-12-2024,4760000,4545608.41,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1045,T-12: Scope Freeze Meeting,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,79708.37,88546.61,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1046,T-12: Air Monitoring Setup,Safety & Compliance,EHS,In Progress,T-12,01-12-2024,15-02-2026,94143.99,90101.04,GE Vernova,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1047,T-12: Mobilization,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,109829.11,112091.08,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1048,T-12: Contractor Orientation,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,107070.9,117872.4,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1049,T-12: Chemical Safety Review,Safety & Compliance,EHS,In Progress,T-12,01-12-2024,08-03-2026,86990.81,83745.31,Local Union 55,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1050,T-12: Chemical Safety Review,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,109311.18,123165.26,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1051,T-12: Invoice Reconciliation,Project Management,Financial & Controls,In Progress,T-12,01-12-2024,03-03-2026,79121.72,81416.11,United Rentals,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1052,T-12: Air Monitoring Setup,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,85296.2,97522.38,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1053,T-12: Walkdown Isolations,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,105057.9,95296.84,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1054,T-12: Scope Freeze Meeting,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,91609.86,92135.74,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1055,T-12: Daily Safety Audit,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,88626.46,97481.79,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1056,T-12: Print Tags,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,99184.73,92974.83,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1057,T-12: Grid Outage Bid,Project Management,Regulatory,Completed,T-12,01-12-2024,26-12-2024,98195.66,89803.9,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1058,T-12: Scope Freeze Meeting,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,82105.75,92659.78,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1059,T-12: Daily Safety Audit,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,80728.97,78178.55,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1060,T-12: Develop Cost Estimate,Project Management,Financial & Controls,Completed,T-12,01-12-2024,26-12-2024,96773.52,87806.87,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1061,T-12: Contractor Orientation,Project Management,Supply Chain,In Progress,T-12,01-12-2024,21-02-2026,92825.33,99095.81,GE Vernova,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1062,T-12: Master LOTO List,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,97608.55,103403.96,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1063,T-12: Grid Outage Bid,Project Management,Regulatory,In Progress,T-12,01-12-2024,04-03-2026,83424.91,81009.68,EthosEnergy,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1064,T-12: HazWaste Permit,Project Management,Regulatory,Completed,T-12,01-12-2024,26-12-2024,95987.63,96431.04,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1065,T-12: Develop Cost Estimate,Project Management,Financial & Controls,In Progress,T-12,01-12-2024,27-02-2026,108883.7,101910.49,GE Vernova,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1066,T-12: Air Monitoring Setup,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,78624.83,89521.55,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1067,T-12: Print Tags,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,94353.96,87411.02,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1068,T-12: Master LOTO List,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,97229.06,103213.9,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1069,T-12: RFP General Contractor,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,82359.62,89574.43,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1070,T-12: Print Tags,Safety & Compliance,LOTO,In Progress,T-12,01-12-2024,01-03-2026,73800.73,76365.34,Siemens Energy,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1071,T-12: Environmental Permit Review,Project Management,Regulatory,Completed,T-12,01-12-2024,26-12-2024,90563.6,103766.22,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1072,T-12: Submit CapEx Request,Project Management,Financial & Controls,Completed,T-12,01-12-2024,26-12-2024,99227.57,110794.73,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1073,T-12: Master LOTO List,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,94891.95,86613.99,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1074,T-12: Submit CapEx Request,Project Management,Financial & Controls,In Progress,T-12,01-12-2024,11-03-2026,96424.98,95905.6,Local Union 55,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1075,T-12: Master LOTO List,Safety & Compliance,LOTO,Completed,T-12,01-12-2024,26-12-2024,91491.47,101400.73,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1076,T-12: Invoice Reconciliation,Project Management,Financial & Controls,Completed,T-12,01-12-2024,26-12-2024,92629.02,100315.91,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1077,T-12: Scope Freeze Meeting,Project Management,Supply Chain,In Progress,T-12,01-12-2024,18-02-2026,91530.55,97249.61,EthosEnergy,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1078,T-12: Budget Approval,Project Management,Financial & Controls,Completed,T-12,01-12-2024,26-12-2024,92872.19,100251.54,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1079,T-12: Confined Space Drills,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,79559.23,77341.95,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1080,T-12: Air Monitoring Setup,Safety & Compliance,EHS,Completed,T-12,01-12-2024,26-12-2024,107121.44,114570.98,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1081,T-12: Mobilization,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,107796.61,121854.21,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1082,T-12: Air Monitoring Setup,Safety & Compliance,EHS,In Progress,T-12,01-12-2024,22-02-2026,76426.87,79281.26,BrandSafway,William Carter,TRUE
NS_MO_2025,North Substation,PRJ-NS-1083,T-12: RFP General Contractor,Project Management,Supply Chain,Completed,T-12,01-12-2024,26-12-2024,86502.03,90574.65,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1084,Material: Fuel Nozzle Set (Refurbished),Gas Turbine,Combustion,Completed,T-6,04-06-2025,29-06-2025,1785000,1903391.65,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1085,Manage PO: Filter Media,Project Management,Supply Chain,Completed,T-6,04-06-2025,29-06-2025,15000,15130.34,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1086,Material: LSB Erosion Shields,Steam Turbine,LP Section,Completed,T-6,04-06-2025,29-06-2025,297500,308637.98,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1087,Manage PO: Pressure Parts,Project Management,Supply Chain,Completed,T-6,04-06-2025,29-06-2025,15000,13661.49,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1088,Material: Stator Wedge Kit,Generator,Stator,Completed,T-6,04-06-2025,29-06-2025,297500,274340.16,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1089,Manage PO: Exciter Parts,Project Management,Supply Chain,Completed,T-6,04-06-2025,29-06-2025,15000,17048.83,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1090,T-6: Inst Air Comp Service,Balance of Plant,Auxiliary,Completed,T-6,04-06-2025,29-06-2025,135904.83,128347.46,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1091,T-6: Circ Water Pump Rebuild,Balance of Plant,Cooling Water,Completed,T-6,04-06-2025,29-06-2025,135947.28,132380.14,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1092,T-6: Shroud Block Replace,Gas Turbine,Turbine Section,Completed,T-6,04-06-2025,29-06-2025,173929.46,185878.16,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1093,T-6: Shroud Block Replace,Gas Turbine,Turbine Section,Completed,T-6,04-06-2025,29-06-2025,183834.57,193555.36,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1094,T-6: LP Hood Spray Check,Steam Turbine,LP,Completed,T-6,04-06-2025,29-06-2025,147913.35,157793.22,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1095,T-6: EL CID Testing,Generator,Stator,Completed,T-6,04-06-2025,29-06-2025,180522.97,174444.57,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1096,T-6: Shroud Block Replace,Gas Turbine,Turbine Section,Completed,T-6,04-06-2025,29-06-2025,163457.35,175559.73,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1097,T-6: Walkdown Isolations,Safety & Compliance,LOTO,Completed,T-6,04-06-2025,29-06-2025,167839.64,164105.68,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1098,T-6: Circ Water Pump Rebuild,Balance of Plant,Cooling Water,Completed,T-6,04-06-2025,29-06-2025,175642.98,167014.04,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1099,T-6: LP Hood Spray Check,Steam Turbine,LP,Completed,T-6,04-06-2025,29-06-2025,128958.43,134123.79,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1100,T-6: HazWaste Permit,Project Management,Regulatory,Completed,T-6,04-06-2025,29-06-2025,169583.53,185475.24,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1101,T-6: HP Shell Removal,Steam Turbine,HP/IP,Completed,T-6,04-06-2025,29-06-2025,154997.67,153868.59,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1102,T-6: Condenser Cleaning,Balance of Plant,Cooling Water,Completed,T-6,04-06-2025,29-06-2025,170496.91,160681.45,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1103,T-6: Inlet Duct Repair,HRSG,Gas Path,Completed,T-6,04-06-2025,29-06-2025,163700.05,186286.9,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1104,T-6: Fuel Nozzle Swap,Gas Turbine,Combustion,Completed,T-6,04-06-2025,29-06-2025,155712.54,163970.74,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1105,Material: Inlet Filter Elements,Gas Turbine,Inlet & Compressor,Completed,T-3,02-09-2025,27-09-2025,297500,332226.98,OEM / Supply Chain,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1106,T-3: Control Valve Lapping,Steam Turbine,HP/IP,Completed,T-3,02-09-2025,27-09-2025,43261,45983.64,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1107,T-3: Mobilization,Project Management,Supply Chain,Completed,T-3,02-09-2025,27-09-2025,47693.32,45466.61,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1108,T-3: Cooling Tower Media Replace,Balance of Plant,Cooling Water,Completed,T-3,02-09-2025,27-09-2025,50708.66,55613.83,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1109,T-3: Grid Outage Bid,Project Management,Regulatory,Completed,T-3,02-09-2025,27-09-2025,41282.37,42954.85,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1110,T-3: HP Evap Thickness,HRSG,Pressure Parts,Completed,T-3,02-09-2025,27-09-2025,35908.88,40963.02,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1111,T-3: Air Monitoring Setup,Safety & Compliance,EHS,Completed,T-3,02-09-2025,27-09-2025,36241.59,40702.87,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1112,T-3: LSB Erosion Check,Steam Turbine,LP,Completed,T-3,02-09-2025,27-09-2025,39154.73,38979.67,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1113,T-3: Environmental Permit Review,Project Management,Regulatory,Completed,T-3,02-09-2025,27-09-2025,40415.9,42406.84,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1114,T-3: Master LOTO List,Safety & Compliance,LOTO,Completed,T-3,02-09-2025,27-09-2025,52990.72,55788.76,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1115,T-3: Compressor Borescope,Gas Turbine,Inlet & Compressor,Completed,T-3,02-09-2025,27-09-2025,37248.55,41752.49,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1116,T-3: LSB Erosion Check,Steam Turbine,LP,Completed,T-3,02-09-2025,27-09-2025,49372.15,46728.82,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1117,T-3: Fuel Nozzle Swap,Gas Turbine,Combustion,Completed,T-3,02-09-2025,27-09-2025,40268.21,43709.07,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1118,T-3: LSB Erosion Check,Steam Turbine,LP,Completed,T-3,02-09-2025,27-09-2025,43256.92,39071.99,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1119,T-3: Compressor Borescope,Gas Turbine,Inlet & Compressor,Completed,T-3,02-09-2025,27-09-2025,49575.71,46497.24,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1120,T-3: Compressor Wash,Gas Turbine,Inlet & Compressor,Completed,T-3,02-09-2025,27-09-2025,47968.41,50762.73,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1121,T-3: Develop Cost Estimate,Project Management,Financial & Controls,Completed,T-3,02-09-2025,27-09-2025,42134.95,45001.48,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1122,T-3: Ammonia Grid Tuning,HRSG,Gas Path,Completed,T-3,02-09-2025,27-09-2025,37703.79,33943.78,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1123,T-3: HP Evap Thickness,HRSG,Pressure Parts,Completed,T-3,02-09-2025,27-09-2025,48025.74,52272.57,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1124,T-3: Walkdown Isolations,Safety & Compliance,LOTO,Completed,T-3,02-09-2025,27-09-2025,37430.12,42958.96,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1125,T-3: Diaphragm Cleaning,Steam Turbine,HP/IP,Completed,T-3,02-09-2025,27-09-2025,53024.36,48352.35,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1126,T-1: Compressor Wash,Gas Turbine,Inlet & Compressor,Completed,T-1,01-11-2025,26-11-2025,71420.23,65542.99,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1127,T-1: Inst Air Comp Service,Balance of Plant,Auxiliary,Completed,T-1,01-11-2025,26-11-2025,82839.34,91274.06,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1128,T-1: Inlet Duct Repair,HRSG,Gas Path,Completed,T-1,01-11-2025,26-11-2025,93208.23,100255.95,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1129,T-1: Master LOTO List,Safety & Compliance,LOTO,Completed,T-1,01-11-2025,26-11-2025,78097.02,88694.19,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1130,T-1: Inlet Duct Repair,HRSG,Gas Path,Completed,T-1,01-11-2025,26-11-2025,91103.5,94880.22,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1131,T-1: Stack Damper Calibration,HRSG,Gas Path,Completed,T-1,01-11-2025,26-11-2025,68561.33,66459.28,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1132,T-1: Brush Rigging Check,Generator,Exciter,Completed,T-1,01-11-2025,26-11-2025,84066.96,87370.86,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1133,T-1: Ammonia Grid Tuning,HRSG,Gas Path,Completed,T-1,01-11-2025,26-11-2025,86488.48,94709.37,Local Union 55,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1134,T-1: Verify Zero Energy,Safety & Compliance,LOTO,Completed,T-1,01-11-2025,26-11-2025,81594.91,86243.01,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1135,T-1: Cross-Fire Tube Check,Gas Turbine,Combustion,Completed,T-1,01-11-2025,26-11-2025,99740.26,97351.47,United Rentals,William Carter,FALSE
