TemplateName,ActivityID,ActivityName,DurationDays,Predecessors,Phase,Responsibility
Planned - Major Overhaul,MA-1063,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1064,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1065,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1066,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1067,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1068,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1069,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1070,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1071,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1072,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1073,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1074,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1075,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1076,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1077,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1078,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1079,T-12: Invoice Rec Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1080,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1081,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1082,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1083,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1084,T-6: Invoice Rec Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1085,T-6: Invoice Rec Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1086,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1087,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1088,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1089,T-6: Grid Bid Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1090,T-6: Budget Approval Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1091,T-6: Invoice Rec Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1092,T-6: Regulatory Permit Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1093,T-6: Grid Bid Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1094,T-6: Budget Approval Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1095,T-6: Grid Bid Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1096,T-6: Grid Bid Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1097,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1098,T-6: Grid Bid Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1099,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1100,T-6: Invoice Rec Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1101,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1102,T-6: Scope Definition Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1103,T-6: Budget Approval Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1104,T-6: Invoice Rec Planning,30,,T-6,Project Management
Planned - Major Overhaul,MA-1105,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1106,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1107,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1108,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1109,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1110,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1111,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1112,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1113,T-3: Invoice Rec Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1114,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1115,T-3: Scope Definition Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1116,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1117,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1118,T-3: Scope Definition Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1119,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1120,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1121,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1122,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1123,T-3: Grid Bid Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1124,T-3: Budget Approval Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1125,T-3: Regulatory Permit Planning,30,,T-3,Project Management
Planned - Major Overhaul,MA-1126,T-1: Stack Damper Planning,30,,T-1,HRSG
Planned - Major Overhaul,MA-1127,T-1: Stack Damper Planning,30,,T-1,HRSG
Planned - Major Overhaul,MA-1128,T-1: Confined Space Setup Planning,30,,T-1,Safety
Planned - Major Overhaul,MA-1129,T-1: Confined Space Setup Planning,30,,T-1,Safety
Planned - Major Overhaul,MA-1130,T-1: Bucket Exchange Planning,30,,T-1,Gas Turbine
Planned - Major Overhaul,MA-1131,T-1: Condenser Clean Planning,30,,T-1,BOP
Planned - Major Overhaul,MA-1132,T-1: HP Shell Removal Planning,30,,T-1,Steam Turbine
Planned - Major Overhaul,MA-1133,T-1: Stop Valve Insp Planning,30,,T-1,Steam Turbine
Planned - Major Overhaul,MA-1134,T-1: Catalyst Sample Planning,30,,T-1,HRSG
Planned - Major Overhaul,MA-1135,T-1: Confined Space Setup Planning,30,,T-1,Safety
Planned - Major Overhaul,MA-1136,T-1: Safety Audit Planning,30,,T-1,Safety
Planned - Major Overhaul,MA-1137,T-1: Catalyst Sample Planning,30,,T-1,HRSG
Planned - Major Overhaul,MA-1138,T-1: Wedge Check Planning,30,,T-1,Generator
Planned - Major Overhaul,MA-1139,T-1: Wedge Check Planning,30,,T-1,Generator
Planned - Major Overhaul,MA-1140,T-1: Wedge Check Planning,30,,T-1,Generator
Planned - Major Overhaul,MA-1141,T-1: Robotic Insp Planning,30,,T-1,Generator
Planned - Major Overhaul,MA-1142,T-1: Tube Thickness Check Planning,30,,T-1,HRSG
Planned - Major Overhaul,MA-1143,T-1: Control Valve Lapping Planning,30,,T-1,Steam Turbine
Planned - Major Overhaul,MA-1144,T-1: Combustion Swap Planning,30,,T-1,Gas Turbine
Planned - Major Overhaul,MA-1145,T-1: Robotic Insp Planning,30,,T-1,Generator
Planned - Major Overhaul,MA-1146,T-1: Exciter Diode Check Planning,30,,T-1,Generator
Planned - Major Overhaul,MA-1147,Drum Insp - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1148,Diaphragm Clean - Area 1,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1149,LP Hood Open - Area 3,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1150,Catalyst Sample - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1151,Circ Pump Rebuild - Area 1,5,,Execution,BOP
Planned - Major Overhaul,MA-1152,Wedge Check - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1153,Compressor Blade Insp - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1154,Stop Valve Insp - Area 1,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1155,Compressor Blade Insp - Area 4,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1156,HP Shell Removal - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1157,Robotic Insp - Area 1,5,,Execution,Generator
Planned - Major Overhaul,MA-1158,Rotor Insp - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1159,Catalyst Sample - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1160,Robotic Insp - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1161,Safety Audit - Area 1,5,,Execution,Safety
Planned - Major Overhaul,MA-1162,Stack Damper - Area 3,5,,Execution,HRSG
Planned - Major Overhaul,MA-1163,HP Shell Removal - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1164,Catalyst Sample - Area 3,5,,Execution,HRSG
Planned - Major Overhaul,MA-1165,Combustion Swap - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1166,Robotic Insp - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1167,Exciter Diode Check - Area 1,5,,Execution,Generator
Planned - Major Overhaul,MA-1168,Turbine Shell Lift - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1169,Bucket Exchange - Area 2,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1170,Wedge Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1171,Diaphragm Clean - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1172,Transformer Oil - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1173,Robotic Insp - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1174,Turbine Shell Lift - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1175,Exciter Diode Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1176,Robotic Insp - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1177,Compressor Blade Insp - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1178,Circ Pump Rebuild - Area 1,5,,Execution,BOP
Planned - Major Overhaul,MA-1179,IGV Bushing - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1180,Drum Insp - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1181,Stop Valve Insp - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1182,Inlet Filter - Area 2,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1183,Condenser Clean - Area 4,5,,Execution,BOP
Planned - Major Overhaul,MA-1184,Control Valve Lapping - Area 3,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1185,Exciter Diode Check - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1186,Wedge Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1187,Exciter Diode Check - Area 1,5,,Execution,Generator
Planned - Major Overhaul,MA-1188,IGV Bushing - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1189,Bucket Exchange - Area 4,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1190,Combustion Swap - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1191,Wedge Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1192,LP Hood Open - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1193,Exciter Diode Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1194,Control Valve Lapping - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1195,Safety Audit - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1196,Inlet Filter - Area 2,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1197,Stack Damper - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1198,Air Monitoring - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1199,LP Hood Open - Area 1,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1200,Exciter Diode Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1201,Bucket Exchange - Area 4,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1202,Turbine Shell Lift - Area 4,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1203,Drum Insp - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1204,Robotic Insp - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1205,Diaphragm Clean - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1206,Confined Space Setup - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1207,Confined Space Setup - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1208,Combustion Swap - Area 4,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1209,Safety Audit - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1210,Diaphragm Clean - Area 3,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1211,LOTO Walkdown - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1212,Stop Valve Insp - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1213,Confined Space Setup - Area 1,5,,Execution,Safety
Planned - Major Overhaul,MA-1214,Compressor Blade Insp - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1215,Stop Valve Insp - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1216,Circ Pump Rebuild - Area 1,5,,Execution,BOP
Planned - Major Overhaul,MA-1217,Condenser Clean - Area 1,5,,Execution,BOP
Planned - Major Overhaul,MA-1218,Catalyst Sample - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1219,Switchgear Test - Area 2,5,,Execution,BOP
Planned - Major Overhaul,MA-1220,Diaphragm Clean - Area 1,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1221,LOTO Walkdown - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1222,Drum Insp - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1223,Condenser Clean - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1224,Diaphragm Clean - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1225,Cooling Tower Fill - Area 2,5,,Execution,BOP
Planned - Major Overhaul,MA-1226,Drum Insp - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1227,HP Shell Removal - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1228,Drum Insp - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1229,Wedge Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1230,Exciter Diode Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1231,Tube Thickness Check - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1232,Robotic Insp - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1233,Air Monitoring - Area 1,5,,Execution,Safety
Planned - Major Overhaul,MA-1234,LP Hood Open - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1235,Circ Pump Rebuild - Area 1,5,,Execution,BOP
Planned - Major Overhaul,MA-1236,Wedge Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1237,Drum Insp - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1238,Circ Pump Rebuild - Area 4,5,,Execution,BOP
Planned - Major Overhaul,MA-1239,LP Hood Open - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1240,Circ Pump Rebuild - Area 2,5,,Execution,BOP
Planned - Major Overhaul,MA-1241,Air Monitoring - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1242,Diaphragm Clean - Area 1,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1243,Condenser Clean - Area 2,5,,Execution,BOP
Planned - Major Overhaul,MA-1244,Wedge Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1245,Air Monitoring - Area 1,5,,Execution,Safety
Planned - Major Overhaul,MA-1246,LOTO Walkdown - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1247,LOTO Walkdown - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1248,Air Monitoring - Area 3,5,,Execution,Safety
Planned - Major Overhaul,MA-1249,Stack Damper - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1250,Wedge Check - Area 1,5,,Execution,Generator
Planned - Major Overhaul,MA-1251,LP Hood Open - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1252,Confined Space Setup - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1253,Air Monitoring - Area 1,5,,Execution,Safety
Planned - Major Overhaul,MA-1254,Air Monitoring - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1255,Robotic Insp - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1256,Wedge Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1257,Compressor Blade Insp - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1258,LOTO Walkdown - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1259,Exciter Diode Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1260,Stop Valve Insp - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1261,Wedge Check - Area 1,5,,Execution,Generator
Planned - Major Overhaul,MA-1262,Transformer Oil - Area 4,5,,Execution,BOP
Planned - Major Overhaul,MA-1263,Confined Space Setup - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1264,HP Shell Removal - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1265,Tube Thickness Check - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1266,Bucket Exchange - Area 2,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1267,Circ Pump Rebuild - Area 4,5,,Execution,BOP
Planned - Major Overhaul,MA-1268,LOTO Walkdown - Area 3,5,,Execution,Safety
Planned - Major Overhaul,MA-1269,Circ Pump Rebuild - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1270,Condenser Clean - Area 2,5,,Execution,BOP
Planned - Major Overhaul,MA-1271,Wedge Check - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1272,Diaphragm Clean - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1273,Wedge Check - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1274,Circ Pump Rebuild - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1275,Robotic Insp - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1276,Stop Valve Insp - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1277,Robotic Insp - Area 4,5,,Execution,Generator
Planned - Major Overhaul,MA-1278,Catalyst Sample - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1279,Safety Audit - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1280,Transformer Oil - Area 1,5,,Execution,BOP
Planned - Major Overhaul,MA-1281,Catalyst Sample - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1282,Circ Pump Rebuild - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1283,Bucket Exchange - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1284,Stack Damper - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1285,Wedge Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1286,Compressor Blade Insp - Area 1,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1287,Air Monitoring - Area 3,5,,Execution,Safety
Planned - Major Overhaul,MA-1288,Safety Audit - Area 4,5,,Execution,Safety
Planned - Major Overhaul,MA-1289,Circ Pump Rebuild - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1290,Compressor Blade Insp - Area 2,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1291,Cooling Tower Fill - Area 4,5,,Execution,BOP
Planned - Major Overhaul,MA-1292,Stack Damper - Area 2,5,,Execution,HRSG
Planned - Major Overhaul,MA-1293,Wedge Check - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1294,Air Monitoring - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1295,Robotic Insp - Area 3,5,,Execution,Generator
Planned - Major Overhaul,MA-1296,Wedge Check - Area 2,5,,Execution,Generator
Planned - Major Overhaul,MA-1297,Air Monitoring - Area 1,5,,Execution,Safety
Planned - Major Overhaul,MA-1298,Stack Damper - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1299,Transformer Oil - Area 4,5,,Execution,BOP
Planned - Major Overhaul,MA-1300,Drum Insp - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1301,Robotic Insp - Area 1,5,,Execution,Generator
Planned - Major Overhaul,MA-1302,Diaphragm Clean - Area 1,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1303,Condenser Clean - Area 3,5,,Execution,BOP
Planned - Major Overhaul,MA-1304,Catalyst Sample - Area 4,5,,Execution,HRSG
Planned - Major Overhaul,MA-1305,Stop Valve Insp - Area 2,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1306,LP Hood Open - Area 4,5,,Execution,Steam Turbine
Planned - Major Overhaul,MA-1307,Rotor Insp - Area 3,5,,Execution,Gas Turbine
Planned - Major Overhaul,MA-1308,Catalyst Sample - Area 1,5,,Execution,HRSG
Planned - Major Overhaul,MA-1309,Stack Damper - Area 3,5,,Execution,HRSG
Planned - Major Overhaul,MA-1310,Confined Space Setup - Area 2,5,,Execution,Safety
Planned - Major Overhaul,MA-1311,Circ Pump Rebuild - Area 1,5,,Execution,BOP
